Shimmer_CB1A_Timestamp_Unix_CAL;Shimmer_CB1A_EMG_CH1_24BIT_CAL;Shimmer_CB1A_EMG_CH2_24BIT_CAL;
ms;mV;mV;
1574178708802.28;-5.16551933672261;14.8905680446507;
1574178708818.91;-5.12441000832041;14.8828510303717;
1574178708835.54;-4.93345597586504;14.8085417121897;
1574178708852.17;-5.19737305609859;14.737357664588;
1574178708868.8;-5.35931015324316;14.6800450102542;
1574178708885.44;-5.36438270780039;14.4499529739165;
1574178708902.07;-5.03014703951045;14.4763254495055;
1574178708918.7;-5.10544201995238;14.5335659822106;
1574178708935.33;-4.99161004920126;14.7987091301333;
1574178708951.97;-4.824744640757;14.9743974178311;
1574178708968.6;-4.76180649937866;14.8909046122517;
1574178708985.23;-4.72925560425785;14.7062972831286;
1574178709001.86;-4.72884691502813;14.5791708921398;
1574178709018.49;-4.65797539448445;14.7196878655379;
1574178709035.13;-4.58823377945826;14.8875148956992;
1574178709051.76;-4.51863640768962;14.9167722364393;
1574178709068.39;-4.53034415209422;14.8469344592414;
1574178709085.02;-4.72807761765452;14.8065944282128;
1574178709101.65;-4.589604090405;14.8173886319862;
1574178709118.29;-4.65278263721259;14.8003919681381;
1574178709134.92;-4.53919107189072;14.818422375332;
1574178709151.55;-4.59929242920388;14.783034696146;
1574178709168.18;-4.58169475178259;14.7049510127248;
1574178709184.81;-4.52423785419121;14.6692508064807;
1574178709201.45;-4.49627870276913;14.6703326309124;
1574178709218.08;-4.57772806219992;14.7205533250833;
1574178709234.71;-4.48413822859187;14.7746926277509;
1574178709251.34;-4.49115806712604;14.7552678690673;
1574178709267.98;-4.54092199098134;14.7388481782494;
1574178709284.61;-4.52729100314272;14.7292800421651;
1574178709301.24;-4.49351404033272;14.7234141496914;
1574178709317.87;-4.44682730597186;14.7210100953988;
1574178709334.5;-4.49286494567374;14.6937000386357;
1574178709351.14;-4.48822512088916;14.6946376198098;
1574178709367.77;-4.46642034845595;14.6845646323241;
1574178709384.4;-4.45920818557837;14.6795641993957;
1574178709401.03;-4.49243221590108;14.6575430620761;
1574178709417.66;-4.38898575969367;14.6620146030602;
1574178709434.3;-4.46158819932797;14.6900218355682;
1574178709450.93;-4.43584077785501;14.6813431995722;
1574178709467.56;-4.44964004949411;14.6613895489442;
1574178709484.19;-4.4485822656054;14.6392241683671;
1574178709500.82;-4.4572368610585;14.6458833987574;
1574178709517.46;-4.4254552633113;14.6315552351739;
1574178709534.09;-4.46495387533751;14.6355700058424;
1574178709550.72;-4.44879863049173;14.626699045503;
1574178709567.35;-4.46670883497105;14.6199917340269;
1574178709583.98;-4.45161137401399;14.6270836941898;
1574178709600.62;-4.49560556756722;14.6060722596732;
1574178709617.25;-4.45014490089554;14.5974897858488;
1574178709633.88;-4.42543122276837;14.5847002170126;
1574178709650.51;-4.46937733523576;14.6067453948751;
1574178709667.14;-4.44615417076995;14.599364948197;
1574178709683.78;-4.46096314521191;14.5786179596525;
1574178709700.41;-4.46341528059029;14.5770553243624;
1574178709717.04;-4.43665815631447;14.5572459169919;
1574178709733.67;-4.47918587674926;14.5809739328592;
1574178709750.31;-4.42223383055931;14.5592412820547;
1574178709766.94;-4.45000065763799;14.5466680781048;
1574178709783.57;-4.49627870276913;14.5334938605818;
1574178709800.2;-4.42245019544564;14.5476056592789;
1574178709816.83;-4.44216344064436;14.5278683735373;
1574178709833.47;-4.45327017147583;14.5226275351796;
1574178709850.1;-4.43204237207282;14.5145739532996;
1574178709866.73;-4.47990709303702;14.5328207253799;
1574178709883.36;-4.42615243905613;14.5089244257122;
1574178709899.99;-4.46379992927709;14.5020969115214;
1574178709916.63;-4.46125163172702;14.4958944514467;
1574178709933.26;-4.41268973501798;14.49707243805;
1574178709949.89;-4.44992853600922;14.492576856523;
1574178709966.52;-4.47488261956564;14.4827683150095;
1574178709983.15;-4.51303496118803;14.478729503798;
1574178709999.79;-4.43153752067139;14.476806260364;
1574178710016.42;-4.46113142901239;14.4674544891661;
1574178710033.05;-4.47627697105531;14.4650504348736;
1574178710049.68;-4.51606406959662;14.4521166227798;
1574178710066.31;-4.4160313704846;14.4563237177917;
1574178710082.95;-4.53589751750996;14.4332207560405;
1574178710099.58;-4.49692779742811;14.4387019998275;
1574178710116.21;-4.49565364865307;14.4435101084125;
1574178710132.84;-4.47805597123178;14.4345910669872;
1574178710149.48;-4.44579356262607;14.4300233638314;
1574178710166.11;-4.54873516743205;14.423075646926;
1574178710182.74;-4.52301178650202;14.4130026594404;
1574178710199.37;-4.48094083638281;14.4138200378998;
1574178710216.0;-4.45625119879856;14.4039874558434;
1574178710232.64;-4.50594300102508;14.3899958598609;
1574178710249.27;-4.51228970435735;14.402833509783;
1574178710265.9;-4.46702136202908;14.3932172926129;
1574178710282.53;-4.48370549881921;14.3735280879571;
1574178710299.16;-4.52159339446943;14.3746579934746;
1574178710315.8;-4.52010288080806;14.3765812369086;
1574178710332.43;-4.48858572903304;14.3806921697488;
1574178710349.06;-4.43560037242576;14.3569641538816;
1574178710365.69;-4.54664364019755;14.3549447482758;
1574178710382.32;-4.50180802764194;14.3502087613196;
1574178710398.96;-4.48286407981683;14.3439101390732;
1574178710415.59;-4.51786711031601;14.3379240438848;
1574178710432.22;-4.54539353196544;14.3368181789102;
1574178710448.85;-4.52207420532793;14.3296300565755;
1574178710465.48;-4.52197804315623;14.3238603262735;
1574178710482.12;-4.52962293580647;14.3164077579667;
1574178710498.75;-4.4803638633526;14.3118400548109;
1574178710515.38;-4.57717512971264;14.2918142825541;
1574178710532.01;-4.50019731126594;14.290564174322;
1574178710548.65;-4.55609157356718;14.3011420132091;
1574178710565.28;-4.53366174701791;14.2888092146884;
1574178710581.91;-4.50611128482556;14.2733271050446;
1574178710598.54;-4.55392792470391;14.2544552788482;
1574178710615.17;-4.50623148754018;14.2780630920009;
1574178710631.81;-4.56854457480247;14.2625088607282;
1574178710648.44;-4.54815819440184;14.2512819271821;
1574178710665.07;-4.48067639041063;14.262244414756;
1574178710681.7;-4.53433488221982;14.2466180618546;
1574178710698.33;-4.56376050676034;14.2338044524754;
1574178710714.97;-4.51635255611172;14.2460410888244;
1574178710731.6;-4.52241077292889;14.2375066960859;
1574178710748.23;-4.54544161305129;14.227193303171;
1574178710764.86;-4.58114181929531;14.2216399377553;
1574178710781.49;-4.53709954465622;14.2216399377553;
1574178710798.13;-4.54560989685177;14.2235631811893;
1574178710814.76;-4.58491618453457;14.2143556532489;
1574178710831.39;-4.50471693333589;14.2136103964182;
1574178710848.02;-4.60104738883742;14.2033450845891;
1574178710864.65;-4.59474876659101;14.21272089633;
1574178710881.29;-4.55611561411011;14.2021670979858;
1574178710897.92;-4.5189970158335;14.1761071494548;
1574178710914.55;-4.49373040521905;14.1843770962211;
1574178710931.18;-4.63215585138271;14.1974791921154;
1574178710947.82;-4.56671749354015;14.189233285892;
1574178710964.45;-4.5738094537031;14.1749772439373;
1574178710981.08;-4.50353894673255;14.1759869467402;
1574178710997.71;-4.64304621732786;14.1632454589898;
1574178711014.34;-4.56472212847735;14.1594470532076;
1574178711030.98;-4.57501148084936;14.171539446299;
1574178711047.61;-4.53729186899963;14.1589181612632;
1574178711064.24;-4.65343173187157;14.1385558214055;
1574178711080.87;-4.55169215421186;14.1485566872625;
1574178711097.5;-4.63489647327619;14.1474508222879;
1574178711114.14;-4.58349779250198;14.1403107810391;
1574178711130.77;-4.54303755875876;14.1422340244731;
1574178711147.4;-4.61066360600753;14.1393251187792;
1574178711164.03;-4.63477627056157;14.1307186044119;
1574178711180.66;-4.62641016162358;14.1227852252466;
1574178711197.3;-4.52714675988516;14.1216312791862;
1574178711213.93;-4.5535432760171;14.1217034008149;
1574178711230.56;-4.65045070454884;14.1243238199938;
1574178711247.19;-4.60373992964505;14.1192512654366;
1574178711263.82;-4.58859438760214;14.1034085476488;
1574178711280.46;-4.55652430333984;14.1052115883682;
1574178711297.09;-4.60881248420228;14.1112217240995;
1574178711313.72;-4.60794702465697;14.1000909527251;
1574178711330.35;-4.61648141739544;14.101100655528;
1574178711346.99;-4.58912327954649;14.094032735908;
1574178711363.62;-4.60172052403933;14.0868926946592;
1574178711380.25;-4.58222364372694;14.0909555464135;
1574178711396.88;-4.6375649735409;14.0881908839771;
1574178711413.51;-4.62561682370704;14.091123830214;
1574178711430.15;-4.56061119563713;14.0973262902887;
1574178711446.78;-4.62970371600434;14.0746079772243;
1574178711463.41;-4.6122502818406;14.0723241256464;
1574178711480.04;-4.64874382600115;14.0719875580455;
1574178711496.67;-4.60313891607192;14.0749205042824;
1574178711513.31;-4.6122502818406;14.0677564224906;
1574178711529.94;-4.60109546992327;14.0688142063794;
1574178711546.57;-4.61458221450435;14.0698719902681;
1574178711563.2;-4.64742159614026;14.065063881683;
1574178711579.83;-4.59989344277701;14.0558803942856;
1574178711596.47;-4.62278003964186;14.0593662730097;
1574178711613.1;-4.59376310433107;14.0530436102204;
1574178711629.73;-4.60056657797892;14.0559284753714;
1574178711646.36;-4.64912847468795;14.0491730828094;
1574178711662.99;-4.61436584961802;14.0489086368372;
1574178711679.63;-4.57407389967528;14.0441005282522;
1574178711696.26;-4.56311141210136;14.0448698256258;
1574178711712.89;-4.6488880692587;14.0523704750185;
1574178711729.52;-4.62616975619432;14.096605074001;
1574178711746.15;-4.56162089843999;14.0252767831417;
1574178711762.79;-4.54957658643443;14.0139056063381;
1574178711779.42;-4.63032877012039;14.0237862694803;
1574178711796.05;-4.63645910856634;14.0389558520662;
1574178711812.68;-4.6036918485592;14.0313590405018;
1574178711829.32;-4.62874209428733;14.0216947422458;
1574178711845.95;-4.60366780801628;14.058621016179;
1574178711862.58;-4.67006778757586;13.9861868603452;
1574178711879.21;-4.65552325910607;14.0175357283198;
1574178711895.84;-4.62568894533582;14.072131801303;
1574178711912.48;-4.62830936451467;13.9905622391576;
1574178711929.11;-4.60066274015062;14.0122468088762;
1574178711945.74;-4.63951225751785;13.9699835344136;
1574178711962.37;-4.65105171812197;14.0541735157379;
1574178711979.0;-4.64513774456236;13.9336101929677;
