id,kernel,best_acc,acc_1
0,linear,0.21855345911949686,0.21855345911949686
1,rbf,0.20911949685534592,0.20911949685534592
2,poly,0.1650943396226415,0.1650943396226415
3,sigmoid,0.2169811320754717,0.2169811320754717
